date,bus,captain,route,stop
,1693872000000,1034,1693,262,3921
,1694476800000,1063,1728,260,3873
,1695081600000,1063,1740,263,3861
,1695686400000,1060,1765,265,3878
,1696291200000,1035,1561,264,3873
